UID,Fullname,Version,Insurance
433,Leon Phillips,1.2,Kemper
988,Stella Herrera,2.9,Liberty Mutual
295,Rosalie McKinney,2.1,Liberty Mutual
811,Bertie Estrada,3.0,State Farm
092,Kathryn Rhodes,1.3,Liberty Mutual
431,Leroy Love,2.3,State Farm
556,Marcus Saunders,3.0,Allstate Corp
102,Mary Schneider,2.0,Kemper
888,Adele Hammond,1.0,Progressive
587,Mark Burke,3.0,Auto-Owners Insurance
018,Brent Franklin,2.6,Liberty Mutual
119,Dustin Owen,2.5,USAA
113,Bobby Burns,4.0,Liberty Mutual
036,Johnny Ramos,2.1,Progressive
909,Ida Mendoza,2.6,Progressive
448,Olga Mitchell,2.3,Auto-Owners Insurance
203,Flora Reeves,2.4,Travelers
736,Fannie Holmes,2.6,Travelers
367,Lela Brewer,2.1,Allstate Corp
099,Travis Dixon,2.3,Kemper
270,Lucas Perez,4.0,USAA
717,Jack Williamson,2.0,Kemper
906,Alexander Cole,1.5,State Farm
809,Lois Sanders,1.0,Liberty Mutual
241,Henrietta Riley,1.0,Allstate Corp
706,Bessie Tran,2.7,Allstate Corp
550,Sara Hill,3.0,Auto-Owners Insurance
017,Larry Santos,4.0,Liberty Mutual
103,William Jacobs,2.2,Travelers
399,Edwin Johnston,1.2,Allstate Corp
030,Ethan Drake,1.5,State Farm
538,Gertrude Patterson,3.0,Kemper
395,Eula Reyes,2.9,State Farm
005,Ruby Welch,1.0,Travelers
927,Tom Parsons,2.6,Progressive
074,Harold Parker,2.5,Liberty Mutual
540,Dylan Greer,1.5,State Farm
068,Benjamin Bowman,2.7,Allstate Corp
442,Aaron Francis,2.7,Travelers
832,Barbara Wade,2.4,Allstate Corp
230,Hettie Frazier,2.4,Travelers
854,Claudia Keller,1.0,Progressive
435,Zachary Smith,3.0,Allstate Corp
568,Gilbert Banks,2.7,USAA
765,Antonio Stewart,2.1,Liberty Mutual
115,Warren Adkins,2.0,Kemper
700,Phillip Stewart,1.2,USAA
920,Cecilia Bass,1.1,Kemper
624,Martin Clark,2.5,USAA
676,Chad Henderson,2.4,Progressive
567,Dorothy Boone,1.5,Liberty Mutual
417,Margaret Kelly,1.0,Liberty Mutual
526,Katharine Davis,2.7,Kemper
590,Dale Mason,1.1,Auto-Owners Insurance
927,Dale Sandoval,1.3,Auto-Owners Insurance
858,Lottie Morris,3.0,Kemper
371,Lester Reynolds,2.0,Liberty Mutual
647,Zachary Greene,1.5,Progressive
550,Christopher Willis,1.2,Kemper
754,Jack Anderson,2.4,Progressive
166,Kenneth Johnston,2.5,USAA
986,Donald Medina,3.0,Allstate Corp
008,Mark Hardy,2.4,USAA
573,Lillian Clark,1.0,Liberty Mutual
689,Russell Harrison,2.2,State Farm
364,Rebecca Schultz,2.6,Auto-Owners Insurance
564,Troy Ramirez,1.1,Liberty Mutual
912,Evan Conner,2.0,Kemper
312,Lelia Schmidt,2.0,USAA
409,Randall Kelley,1.0,Auto-Owners Insurance
854,Belle Hart,2.0,State Farm
591,Bertha Leonard,2.5,Auto-Owners Insurance
024,Antonio Pierce,1.5,State Farm
858,Cornelia Graves,2.5,Auto-Owners Insurance
695,Katherine Frazier,2.9,Auto-Owners Insurance
812,Johanna Hawkins,2.0,Liberty Mutual
360,Gertrude Sims,2.0,Kemper
669,Clara Roberts,1.0,Progressive
006,Glenn Flowers,1.5,Progressive
057,Harriet Fuller,1.0,Auto-Owners Insurance
421,Lily Banks,2.0,Travelers
791,Jordan Sherman,1.1,State Farm
526,Luella Lewis,2.9,Progressive
506,Ralph Quinn,2.2,Liberty Mutual
011,Juan Vasquez,1.2,Liberty Mutual
638,Franklin Pierce,2.6,Auto-Owners Insurance
985,David Robinson,2.6,Auto-Owners Insurance
149,Christopher Estrada,1.5,Progressive
429,Sean Bryant,2.3,Auto-Owners Insurance
650,Pauline Thomas,1.2,USAA
520,Lydia Pena,1.0,Travelers
829,Alice Sims,2.2,Travelers
166,Billy Lee,2.5,Allstate Corp
179,Earl Stokes,1.2,Liberty Mutual
641,Gussie Mathis,2.2,Kemper
738,Amy Bush,2.9,Liberty Mutual
581,Carolyn Smith,2.1,Auto-Owners Insurance
100,Georgie Montgomery,3.0,Travelers
573,Harvey Wells,1.0,Kemper
598,Lee Boyd,3.0,Travelers
577,Ricardo Ford,2.0,Progressive
375,Loretta Marshall,1.0,USAA
754,Emilie Hanson,1.3,Progressive
743,Josie Mack,2.2,Allstate Corp
517,John Mason,2.4,USAA
777,Rhoda Hudson,2.4,State Farm
699,Ian Jacobs,1.5,Progressive
185,Ray Joseph,2.1,Allstate Corp
396,Joshua Stone,1.5,Travelers
801,Lola Thomas,2.2,Progressive
032,Delia Tate,1.5,Progressive
386,Theresa Simmons,2.2,Progressive
191,Helen Lowe,2.9,Liberty Mutual
215,Esther Owens,2.7,Allstate Corp
342,Lida Sutton,2.3,USAA
401,Vera Stevenson,3.0,State Farm
976,Essie Gilbert,3.0,USAA
802,Angel Rhodes,1.2,State Farm
076,Katie Garrett,1.1,Travelers
967,Celia Adkins,1.5,Allstate Corp
535,Norman Armstrong,2.0,State Farm
263,Hunter Horton,1.1,Auto-Owners Insurance
736,Addie Ferguson,2.3,Progressive
929,Stella White,1.3,Progressive
418,Vera Harrison,2.5,Progressive
431,Maud Grant,2.2,Progressive
923,Angel Strickland,2.0,Allstate Corp
232,Claudia Simon,2.5,Allstate Corp
013,William Harris,2.7,Kemper
474,Samuel Welch,2.4,Auto-Owners Insurance
497,Kathryn McCarthy,2.1,USAA
945,Myra Summers,1.0,Allstate Corp
668,Mark Houston,2.5,Progressive
431,Bettie Sanchez,1.3,Auto-Owners Insurance
955,Carrie Jefferson,1.2,State Farm
216,Jerry Tate,2.2,Allstate Corp
550,Helena Howell,2.4,State Farm
756,Shawn Mack,3.0,Progressive
971,Beulah Montgomery,2.1,Progressive
141,Edgar Hale,2.1,Kemper
928,Bradley Wilkins,3.0,Progressive
551,Birdie Singleton,1.0,Allstate Corp
037,Luella Lewis,2.9,USAA
109,Helen Barrett,4.0,Progressive
224,Esther Cross,1.2,Auto-Owners Insurance
041,Allie Wood,1.5,USAA
944,Fannie Mills,2.1,Travelers
204,Daisy Pierce,2.6,Travelers
165,Lucinda Underwood,3.0,Progressive
106,Dale Morales,1.0,Allstate Corp
062,Claudia Brewer,2.5,Progressive
321,Winnie Cross,1.0,USAA
695,Caroline Miller,2.9,USAA
777,Lena Richards,2.9,Auto-Owners Insurance
974,Elva Warren,2.5,Kemper
656,Wayne Frazier,1.3,Kemper
947,Janie Garza,2.1,State Farm
920,Ola Morris,2.6,Progressive
161,Teresa Aguilar,2.7,Auto-Owners Insurance
703,Douglas Williams,3.0,USAA
528,Steve Hart,3.0,USAA
196,Cody Snyder,1.1,Auto-Owners Insurance
819,Luke Armstrong,1.1,Auto-Owners Insurance
372,Keith Norton,2.1,State Farm
865,Don Schmidt,1.5,Auto-Owners Insurance
777,Cameron Nunez,2.7,Allstate Corp
595,Cody Chandler,1.5,Allstate Corp
426,Justin Mendoza,2.6,Allstate Corp
617,Louis Ingram,2.7,Progressive
563,Justin Sherman,2.5,Allstate Corp
074,Alice Klein,2.4,Kemper
077,James Richardson,1.5,Travelers
951,Evan Floyd,1.1,Auto-Owners Insurance
243,Jeremy Allen,2.3,Liberty Mutual
188,Hilda Daniels,1.2,Kemper
048,Dorothy Copeland,2.0,Auto-Owners Insurance
254,Ethan Freeman,1.0,Auto-Owners Insurance
334,Jesse Lawrence,4.0,State Farm
552,Keith Lindsey,2.1,Travelers
668,Hilda Joseph,1.0,Allstate Corp
490,Minnie Nguyen,2.7,Travelers
231,Elmer Lawson,4.0,Auto-Owners Insurance
131,Irene McLaughlin,2.5,Auto-Owners Insurance
452,Lillie Morrison,1.0,Progressive
760,Jayden Glover,2.7,Kemper
582,Maurice Maxwell,1.3,Auto-Owners Insurance
098,Roger Vasquez,2.5,Auto-Owners Insurance
456,May Evans,2.1,Travelers
135,Willie Poole,1.3,Allstate Corp
182,Clayton Walker,1.5,Liberty Mutual
973,Danny Gardner,2.0,Progressive
856,Gilbert Love,1.2,Progressive
343,Fred Ellis,2.1,Travelers
875,Sallie Marsh,1.1,USAA
871,Lewis Reynolds,1.5,Liberty Mutual
330,Timothy Walters,1.3,Allstate Corp
840,Eugene Ellis,2.7,Auto-Owners Insurance
685,Joshua Lyons,2.3,Liberty Mutual
259,Antonio Anderson,2.4,Progressive
080,Maud Dixon,2.1,Liberty Mutual
887,Sadie Clark,1.2,Travelers
329,Warren Wright,2.1,Liberty Mutual
059,Nicholas Watts,1.1,State Farm
961,Timothy Greene,1.0,USAA
637,Victor Spencer,1.2,Allstate Corp
400,Herman McBride,2.2,Progressive
327,Agnes Atkins,2.7,State Farm
813,Danny Becker,2.6,Auto-Owners Insurance
912,Vera Strickland,2.6,USAA
135,Clyde Wilson,2.4,Kemper
337,Mitchell White,3.0,Liberty Mutual
260,Elsie Fields,4.0,USAA
532,Jayden Jordan,2.2,Liberty Mutual
034,Michael Kim,1.5,Kemper
151,Marguerite Hall,1.1,USAA
094,Lula Townsend,1.0,Progressive
535,Don Casey,2.0,Auto-Owners Insurance
495,Francis Shelton,1.5,Auto-Owners Insurance
383,Pearl Rose,2.1,Auto-Owners Insurance
011,Estelle Potter,1.3,Liberty Mutual
539,George Turner,2.5,State Farm
609,Jayden Thomas,1.3,Auto-Owners Insurance
860,Josephine Sutton,1.3,Allstate Corp
143,Norman Greer,3.0,Liberty Mutual
524,Paul Ortiz,1.3,State Farm
447,Christine Jefferson,1.5,Progressive
733,Gilbert Bennett,2.9,Allstate Corp
903,Susie Bates,2.6,Kemper
672,Nellie Wagner,3.0,Allstate Corp
649,Logan Fletcher,1.0,State Farm
859,Lester Wade,2.4,Progressive
139,Shawn Lucas,1.5,Liberty Mutual
887,Jackson Peterson,2.1,State Farm
257,Eric Bennett,2.9,Auto-Owners Insurance
507,Laura Bennett,2.1,Progressive
677,Birdie Cross,2.2,Travelers
805,Lettie Sandoval,1.5,Auto-Owners Insurance
863,Joseph Montgomery,2.4,State Farm
963,Olivia Freeman,2.0,Auto-Owners Insurance
327,Susan Alvarado,2.1,Progressive
606,Flora Ballard,2.7,USAA
995,Francis Young,2.6,Allstate Corp
297,Robert Graves,2.4,State Farm
579,David Williams,2.3,Auto-Owners Insurance
419,Michael Porter,3.0,Travelers
990,Wesley Hamilton,2.4,Liberty Mutual
402,Ethel Dennis,2.4,State Farm
579,Minnie Fields,2.7,Kemper
008,Edward Cobb,1.1,Liberty Mutual
960,Hattie Johnston,2.3,Liberty Mutual
022,Gertrude Terry,2.5,Progressive
844,Brett Glover,2.6,Auto-Owners Insurance
506,Ida Bates,4.0,USAA
343,Winifred Stephens,1.1,State Farm
566,Ora Berry,2.7,Travelers
174,Philip Reynolds,1.2,Allstate Corp
367,Eunice Nunez,1.0,Auto-Owners Insurance
728,Dylan Webster,3.0,Progressive
742,Tillie Allison,2.2,Liberty Mutual
568,Jerome Salazar,1.1,State Farm
017,Marc Nunez,2.7,Liberty Mutual
789,Luella Curtis,1.0,Allstate Corp
161,Don Alvarado,2.4,USAA
032,Gertrude French,2.3,State Farm
196,Eliza Shelton,1.2,Liberty Mutual
328,Tillie Castro,2.0,Auto-Owners Insurance
847,Ida Patterson,2.7,Liberty Mutual
431,Travis Kim,1.2,USAA
992,Julia Gutierrez,1.1,Allstate Corp
671,Brent Sandoval,2.2,State Farm
006,Mable Graham,2.7,Progressive
343,Jorge Garcia,2.1,Kemper
759,Jackson Caldwell,4.0,State Farm
168,Luke Craig,2.9,State Farm
577,Nicholas Wolfe,1.0,State Farm
364,Steven Cole,1.5,State Farm
248,Adele Cummings,1.2,State Farm
254,Beatrice Francis,2.3,Allstate Corp
061,Michael Alexander,1.5,State Farm
369,Elva Patrick,2.7,Auto-Owners Insurance
154,Emma Franklin,3.0,Liberty Mutual
892,Gregory Patterson,2.4,State Farm
270,Mattie Freeman,2.3,Progressive
151,Violet Jackson,1.3,Liberty Mutual
310,Sophie Reed,1.3,State Farm
511,Ernest Murray,1.1,Auto-Owners Insurance
719,Lelia Mendoza,1.3,USAA
963,Andre Poole,1.3,Liberty Mutual
114,Myrtle Perry,2.7,Kemper
417,Landon Pena,1.0,Travelers
903,Ronald Mann,1.3,State Farm
649,Earl May,1.0,Kemper
976,Georgie Collier,1.2,USAA
330,Josie Malone,1.3,Liberty Mutual
183,Beulah Jennings,2.7,Kemper
761,Minnie Kelly,2.7,Kemper
216,Agnes Edwards,2.2,Travelers
049,Edward Fuller,3.0,Allstate Corp
528,Jesse Lopez,1.3,Travelers
337,Cora Mullins,1.2,Travelers
427,Loretta Swanson,2.1,Kemper
155,Isaiah Wong,2.9,Allstate Corp
077,Leah Welch,2.9,Travelers
470,Beatrice Hall,2.7,Progressive
812,Lucinda Henderson,2.2,Liberty Mutual
847,Nina Weber,2.1,Travelers
371,Bernice Reynolds,2.0,Progressive
364,Wesley Ortiz,1.3,State Farm
689,Joel Marshall,2.5,USAA
236,Zachary Sherman,1.3,State Farm
790,Samuel Bates,4.0,Progressive
891,Glen Jenkins,2.5,Allstate Corp
381,Jimmy Hudson,2.3,Liberty Mutual
898,Emily Reed,2.9,Travelers
098,Charlie Roy,2.4,Liberty Mutual
852,Pauline Guerrero,3.0,Liberty Mutual
178,Larry Benson,2.6,Progressive
089,Ina Powers,1.1,Allstate Corp
523,Mitchell Richardson,1.2,Progressive
814,Kenneth Fitzgerald,2.6,Auto-Owners Insurance
931,Frances Gibson,2.3,State Farm
219,Pauline Horton,2.6,USAA
180,Alberta Ballard,2.7,State Farm
528,Herman Williamson,2.6,USAA
297,Jimmy Dennis,2.6,USAA
866,Barry Watkins,1.2,USAA
221,Nettie Payne,2.3,USAA
567,Betty McGuire,2.9,State Farm
054,Mathilda Jenkins,1.3,Progressive
815,Anthony Hunt,3.0,State Farm
354,Josephine Ryan,1.0,Progressive
438,Mason Gross,1.5,Kemper
347,Roger Castillo,2.0,Travelers
320,Matthew Houston,3.0,Kemper
441,Douglas Adkins,1.1,Progressive
630,Jim Webster,2.7,Auto-Owners Insurance
216,Derek Holmes,1.3,Auto-Owners Insurance
537,Marc Glover,1.5,Travelers
023,Emily Duncan,2.2,USAA
143,Steve Cortez,2.5,USAA
239,Louis Holt,4.0,Progressive
053,Jimmy Davis,3.0,Liberty Mutual
141,Adele Kelley,1.5,Kemper
916,Jeffrey Hayes,1.3,USAA
241,Evan Hill,1.3,Progressive
474,Abbie Paul,1.3,Auto-Owners Insurance
627,Terry Castro,2.6,Auto-Owners Insurance
473,Minerva Grant,2.0,USAA
377,Melvin Cole,2.6,Travelers
066,Lewis Houston,1.2,Kemper
184,Etta Daniel,3.0,State Farm
750,Bertha Ball,2.2,Liberty Mutual
717,Brett Gonzalez,2.3,Auto-Owners Insurance
265,Timothy James,1.0,State Farm
312,Leroy Francis,3.0,Progressive
166,Georgie Davis,2.9,Auto-Owners Insurance
707,Susan Olson,2.5,State Farm
450,Rachel Jimenez,3.0,Liberty Mutual
716,Harriet McCoy,2.6,Liberty Mutual
375,Rodney Fleming,2.0,State Farm
463,Rena Flores,2.3,USAA
238,Lola Guzman,2.7,Kemper
971,Lena Nash,2.0,Allstate Corp
414,Charlotte Meyer,1.5,Liberty Mutual
386,Esther Dennis,1.0,Kemper
569,Robert Benson,1.0,Travelers
121,Calvin Moran,2.9,Travelers
293,Gene Bishop,2.4,Liberty Mutual
597,Louise Chambers,2.1,Kemper
145,Troy Wise,2.0,Kemper
271,Abbie Schmidt,2.2,Travelers
551,Emilie Parsons,2.3,State Farm
009,Jerome Doyle,2.2,Travelers
523,Minnie Valdez,2.5,Kemper
088,Dean Black,2.9,Liberty Mutual
411,Richard Burns,1.5,Allstate Corp
281,Lucille Lawson,1.3,Kemper
674,Tommy Swanson,2.1,Allstate Corp
297,Aaron Lloyd,1.3,Progressive
442,Fanny Cummings,2.4,State Farm
366,Clifford Jefferson,2.0,Travelers
043,Evelyn Welch,2.7,Auto-Owners Insurance
918,Phillip Norman,1.1,State Farm
076,Marion Lane,2.7,Travelers
423,Curtis Fowler,2.7,Liberty Mutual
900,Rosa Gomez,3.0,Travelers
272,Cora Evans,1.5,Liberty Mutual
408,Shawn Wells,1.3,Kemper
555,Bryan Keller,1.1,State Farm
274,Bernice Walton,2.9,Liberty Mutual
453,Mae Miles,2.2,Liberty Mutual
560,Addie Hudson,2.3,Progressive
927,Alan Stanley,2.5,USAA
501,Nathaniel Douglas,2.0,State Farm
685,Edna Harrington,2.5,Kemper
061,Leila Buchanan,4.0,State Farm
139,Jackson Joseph,2.0,USAA
762,Pearl Warner,1.3,Kemper
370,Lucy Ferguson,3.0,State Farm
243,Harriett Cole,2.6,Travelers
789,Dale Anderson,2.5,Allstate Corp
317,Melvin Wilson,2.1,Auto-Owners Insurance
668,Jim Lindsey,1.5,USAA
332,Bettie Mullins,2.5,State Farm
251,Johanna Johnson,2.6,Travelers
289,Charlie Powers,1.1,Liberty Mutual
186,Lydia Castillo,3.0,USAA
468,Emily Turner,2.7,Liberty Mutual
289,Hannah Collier,1.5,Travelers
616,Evelyn Boone,4.0,Progressive
696,Jacob Moreno,2.2,State Farm
358,Maurice Bowen,3.0,USAA
292,Minnie Freeman,2.1,Auto-Owners Insurance
099,Isaiah Hubbard,2.2,Kemper
141,Hunter Hampton,4.0,State Farm
353,Evelyn Jefferson,3.0,Kemper
186,Shawn Rogers,3.0,Allstate Corp
508,Flora Nunez,2.9,State Farm
991,Michael Riley,2.5,Liberty Mutual
984,Craig Phillips,2.1,Travelers
981,Douglas Stone,1.1,USAA
858,Bradley Reynolds,2.6,Progressive
738,Gertrude Frazier,2.1,Progressive
720,Lou Cobb,2.9,Kemper
396,Caleb Cox,1.0,Progressive
161,Bernice Marshall,3.0,Progressive
781,Ola Massey,2.5,Kemper
216,Garrett Vaughn,2.6,Liberty Mutual
678,Nina Jackson,1.3,Allstate Corp
185,Hattie Guzman,2.4,Auto-Owners Insurance
877,Rena Taylor,2.1,Travelers
082,Mabelle Franklin,4.0,Travelers
334,Nell Butler,2.1,State Farm
398,Joseph Bell,3.0,Kemper
644,Darrell Briggs,1.0,Auto-Owners Insurance
149,Lela Cain,1.2,Liberty Mutual
366,Brandon Manning,1.5,Auto-Owners Insurance
546,Lulu Barnes,2.9,USAA
875,Dollie Haynes,2.9,Travelers
443,Herman Cunningham,2.7,State Farm
987,Ethan Porter,2.4,Travelers
141,Grace Carson,2.7,State Farm
719,Alta Spencer,2.2,Liberty Mutual
013,Albert West,1.5,State Farm
104,Edith Newton,2.1,State Farm
994,Katherine Baldwin,1.2,Progressive
413,Hannah McDaniel,2.9,Progressive
634,Herman Greer,2.3,USAA
698,Randy Wagner,2.9,Progressive
021,Maurice Ray,2.1,Kemper
340,Clarence Bishop,1.1,USAA
503,Eliza Owen,2.0,Kemper
679,Juan Stone,2.7,Allstate Corp
048,Nathan Matthews,2.3,Kemper
782,Mario Barnes,1.2,State Farm
749,Tony Pierce,3.0,Progressive
626,Aiden Miles,2.9,Liberty Mutual
478,Fanny Carroll,4.0,Auto-Owners Insurance
320,Dean Rose,1.5,Progressive
022,Gertrude Goodman,2.5,USAA
737,Harvey Nunez,1.3,USAA
782,Bessie Burgess,2.3,Progressive
957,Susie Martin,3.0,Liberty Mutual
815,Peter Howard,3.0,Travelers
734,Jeremy Flores,1.2,Travelers
280,Seth Cain,3.0,Auto-Owners Insurance
377,Shawn Fuller,3.0,Travelers
724,Delia Mason,2.4,Allstate Corp
229,Maud Nguyen,2.4,USAA
306,Emma Romero,2.5,USAA
370,Lelia Summers,1.1,Liberty Mutual
663,Nathan Henry,2.2,Liberty Mutual
503,Elijah Summers,1.5,Allstate Corp
033,Mark Hicks,4.0,Travelers
458,Janie Perry,2.1,State Farm
436,Tommy Wheeler,1.5,Allstate Corp
764,Luke Reese,2.1,State Farm
931,Lou Diaz,4.0,Allstate Corp
207,Grace Malone,2.9,Allstate Corp
283,Brandon Lucas,2.2,Travelers
498,Don Tate,2.3,Allstate Corp
660,Blanche Warner,1.1,Travelers
782,Caroline Watts,1.1,Allstate Corp
086,Mitchell Nelson,1.2,USAA
013,Curtis Rowe,2.3,Kemper
103,Annie Christensen,2.1,USAA
270,Christian Johnson,2.9,Allstate Corp
067,Chris Garner,2.7,Allstate Corp
124,Jeffery Moody,2.1,State Farm
658,Albert Ferguson,2.6,Progressive
808,Rosa Reynolds,2.4,Allstate Corp
016,Estelle Gross,2.7,Auto-Owners Insurance
755,Blanche Parker,1.0,State Farm
775,Sophia Burns,2.3,USAA
666,Frances Fletcher,1.5,Progressive
842,Mary Walters,2.6,Auto-Owners Insurance
775,Darrell Rice,3.0,Liberty Mutual
295,Ray Mack,2.0,Progressive
056,Terry Douglas,1.1,State Farm
218,Victor Hansen,1.2,Auto-Owners Insurance
064,Eleanor Pierce,1.5,Liberty Mutual
477,Eric Dixon,2.1,USAA
025,Lawrence Hill,4.0,Allstate Corp
335,Mike Yates,1.3,Auto-Owners Insurance
694,Hallie Bass,2.2,Kemper
714,Clifford Franklin,2.4,Travelers
316,Bertie Price,1.2,USAA
760,Mittie Diaz,1.2,USAA
115,Albert Munoz,2.6,State Farm
920,Alex Simpson,1.5,Kemper
877,Eula Douglas,2.3,Kemper
235,Adrian Cannon,2.3,USAA
798,Alexander Henderson,1.1,Auto-Owners Insurance
814,Theodore Mack,1.3,Liberty Mutual
987,Donald Knight,2.0,USAA
230,Blake Burgess,2.1,State Farm
721,Genevieve Jensen,2.3,Allstate Corp
127,Olga Bryant,3.0,State Farm
555,Jon Shaw,4.0,USAA
864,Myrtie Henderson,2.1,Kemper
200,Seth Patton,2.5,Auto-Owners Insurance
738,Steven Oliver,2.9,Liberty Mutual
909,Lucas Briggs,2.3,Kemper
135,Fanny Jones,3.0,Liberty Mutual
996,Owen Chapman,2.1,Auto-Owners Insurance
203,Derek Jones,1.1,Progressive
000,Ida McCarthy,2.1,Auto-Owners Insurance
813,Jordan Soto,1.1,Allstate Corp
376,Jorge Dennis,2.5,State Farm
060,Marguerite Bush,1.2,Progressive
634,Cody Love,4.0,Progressive
544,Annie Nguyen,2.0,Travelers
757,Timothy Barton,1.5,State Farm
680,Jorge McKenzie,2.7,Travelers
629,Martin Diaz,2.1,Auto-Owners Insurance
837,Kevin Gray,1.0,Auto-Owners Insurance
145,Susie Pratt,4.0,USAA
142,Ina Rodriguez,1.2,Auto-Owners Insurance
743,Lloyd Salazar,1.0,Kemper
616,Brian Briggs,2.4,Auto-Owners Insurance
001,Raymond Stevens,1.2,USAA
013,Ethel McBride,2.4,Auto-Owners Insurance
568,Harriett Powell,2.5,Progressive
735,Rodney Chandler,2.5,State Farm
879,Ethel Castro,3.0,Auto-Owners Insurance
250,Carrie Malone,4.0,Auto-Owners Insurance
475,Bessie Morrison,2.7,Allstate Corp
597,Craig Estrada,1.3,Allstate Corp
208,Janie Fields,2.1,USAA
631,Hattie Phelps,3.0,Auto-Owners Insurance
905,Mayme Patrick,2.6,Auto-Owners Insurance
559,Grace Webb,1.0,State Farm
315,Alvin Lloyd,2.1,Allstate Corp
914,Vernon Saunders,3.0,Progressive
993,Julia Cobb,2.9,Progressive
403,Eva Peterson,2.4,Auto-Owners Insurance
250,Sean Schmidt,3.0,Auto-Owners Insurance
815,Richard Ray,3.0,Allstate Corp
918,Florence Richardson,1.5,Allstate Corp
200,Elsie Caldwell,2.5,Allstate Corp
480,Lottie Palmer,2.2,Kemper
192,Sam Harrington,2.5,Progressive
113,Ricky Gibson,3.0,USAA
255,Carl Bradley,3.0,Liberty Mutual
660,Sophia Munoz,2.6,Travelers
772,Eddie Owen,2.0,State Farm
269,Zachary Huff,2.4,Travelers
292,Marion Vega,2.0,Travelers
838,Teresa Lee,2.7,Kemper
491,Patrick Murray,2.5,USAA
867,Pauline Lucas,1.1,USAA
386,Nannie Schneider,4.0,State Farm
601,Joshua Love,2.9,State Farm
097,Theodore Walsh,2.5,Allstate Corp
746,Chester Lyons,1.1,State Farm
817,Ethel Snyder,2.9,State Farm
937,Jay Alvarado,3.0,Liberty Mutual
150,Theodore Barnes,2.3,Auto-Owners Insurance
876,Minerva Herrera,2.3,USAA
909,Austin Carson,2.6,Travelers
116,Polly Summers,2.4,State Farm
758,Wesley Conner,2.2,Liberty Mutual
786,Lulu Vaughn,2.9,State Farm
521,Lucas Frank,2.5,State Farm
587,Betty Weber,4.0,Auto-Owners Insurance
056,Estella Long,2.4,Auto-Owners Insurance
775,Hannah Peterson,2.5,Kemper
466,Virginia Morris,1.5,Allstate Corp
214,Adeline Byrd,2.0,Kemper
826,Frances Little,2.2,Auto-Owners Insurance
443,Hannah Harmon,2.1,Kemper
116,Minerva Luna,3.0,Liberty Mutual
072,Lora Leonard,2.4,State Farm
912,Charlie Terry,4.0,Liberty Mutual
613,Violet Gonzalez,4.0,Progressive
622,Jordan Collins,1.0,Travelers
172,Iva Benson,2.4,Kemper
502,Chris McDaniel,1.0,Allstate Corp
362,Hannah Day,2.9,Auto-Owners Insurance
537,Cory Graham,2.0,State Farm
007,Joel Webb,2.4,Travelers
690,Don Munoz,2.0,USAA
663,Adele Saunders,3.0,Kemper
174,Franklin Ford,1.2,Liberty Mutual
901,Stephen Cummings,2.6,Auto-Owners Insurance
323,Josie Owens,1.0,USAA
170,Patrick Johnston,2.7,Liberty Mutual
793,Willie Howell,1.0,USAA
184,Edgar Medina,3.0,Kemper
